,2018_Rank,City,State,Abbreviations,webpage,2018_Estimate,2010_Census,%Change,2016_land_area(sq mi),2016_population_density(sq mi),Location,latitude,longitude,White%,Black%
173,174,Killeen,Texas,TX,"https://en.wikipedia.org/wiki/Killeen,_Texas",149103,127921,16.56,53.5,2680.0,31°04′40″N 97°43′55″W﻿ / ﻿31.0777°N 97.7320°W,31.077777,-97.731944,45.1,34.1
174,175,Naperville,Illinois,IL,"https://en.wikipedia.org/wiki/Naperville,_Illinois",148304,141853,4.55,38.7,3802.0,41°44′57″N 88°09′43″W﻿ / ﻿41.7492°N 88.1620°W,41.749166,-88.161944,76.5,4.7
175,176,Joliet,Illinois,IL,"https://en.wikipedia.org/wiki/Joliet,_Illinois",148099,147433,0.45,64.4,2302.0,41°31′04″N 88°08′56″W﻿ / ﻿41.5177°N 88.1488°W,41.517777,-88.148888,67.48,5.98
176,177,Bellevue,Washington,WA,"https://en.wikipedia.org/wiki/Bellevue,_Washington",147599,122363,20.62,33.5,4221.0,47°35′52″N 122°09′23″W﻿ / ﻿47.5979°N 122.1565°W,47.597777,-122.15638,62.6,2.2
177,178,Rockford,Illinois,IL,"https://en.wikipedia.org/wiki/Rockford,_Illinois",146526,152871,-4.15,63.5,2325.0,42°15′32″N 89°03′53″W﻿ / ﻿42.2588°N 89.0646°W,42.258888,-89.064722,65.1,20.5
178,179,Savannah,Georgia,GA,"https://en.wikipedia.org/wiki/Savannah,_Georgia",145862,136286,7.03,103.6,1417.0,32°00′09″N 81°09′13″W﻿ / ﻿32.0025°N 81.1536°W,32.0025,-81.153611,38.03,5.04
179,180,Paterson,New Jersey,NJ,"https://en.wikipedia.org/wiki/Paterson,_New_Jersey",145627,146199,-0.39,8.4,17500.0,40°54′53″N 74°09′46″W﻿ / ﻿40.9148°N 74.1628°W,40.914722,-74.162777,13.2,2.9
180,181,Torrance,California,CA,"https://en.wikipedia.org/wiki/Torrance,_California",145182,145438,-0.18,20.5,7180.0,33°50′06″N 118°20′29″W﻿ / ﻿33.8350°N 118.3414°W,33.835,-118.34138,51.1,2.7
181,182,Bridgeport,Connecticut,CT,"https://en.wikipedia.org/wiki/Bridgeport,_Connecticut",144900,144229,0.47,16.1,9064.0,41°11′15″N 73°11′45″W﻿ / ﻿41.1874°N 73.1958°W,41.1875,-73.195833,45.0,30.8
182,183,McAllen,Texas,TX,"https://en.wikipedia.org/wiki/McAllen,_Texas",143433,129877,10.44,58.4,2435.0,26°13′56″N 98°14′47″W﻿ / ﻿26.2322°N 98.2464°W,26.232222,-98.246388,83.9,0.9
183,184,Mesquite,Texas,TX,"https://en.wikipedia.org/wiki/Mesquite,_Texas",142816,139824,2.14,47.2,3045.0,32°45′46″N 96°35′20″W﻿ / ﻿32.7629°N 96.5888°W,32.762777,-96.588888,31.5,25.0
184,185,Syracuse,New York,NY,"https://en.wikipedia.org/wiki/Syracuse,_New_York",142749,145170,-1.67,25.0,5735.0,43°02′28″N 76°08′37″W﻿ / ﻿43.0410°N 76.1436°W,43.041111,-76.143611,56.0,29.5
185,186,Midland,Texas,TX,"https://en.wikipedia.org/wiki/Midland,_Texas",142344,111147,28.07,74.4,1809.0,32°01′29″N 102°06′49″W﻿ / ﻿32.0246°N 102.1135°W,32.024722,-102.11361,75.51,8.37
186,187,Pasadena,California,CA,"https://en.wikipedia.org/wiki/Pasadena,_Texas",141371,137122,3.1,23.0,6176.0,34°09′38″N 118°08′23″W﻿ / ﻿34.1606°N 118.1396°W,34.160555,-118.13972,83.3,2.7
187,188,Murfreesboro,Tennessee,TN,"https://en.wikipedia.org/wiki/Murfreesboro,_Tennessee",141344,108755,29.97,55.9,2360.0,35°51′08″N 86°24′58″W﻿ / ﻿35.8522°N 86.4160°W,35.852222,-86.416111,75.62,5.18
188,189,Miramar,Florida,FL,"https://en.wikipedia.org/wiki/Miramar,_Florida",140823,122041,15.39,29.4,4709.0,25°58′37″N 80°20′09″W﻿ / ﻿25.9770°N 80.3358°W,25.976944,-80.335833,41.0,45.7
189,190,Dayton,Ohio,OH,"https://en.wikipedia.org/wiki/Dayton,_Ohio",140640,141527,-0.63,55.7,2522.0,39°46′39″N 84°11′59″W﻿ / ﻿39.7774°N 84.1996°W,39.777499,-84.199722,51.7,42.9
190,191,Fullerton,California,CA,"https://en.wikipedia.org/wiki/Fullerton,_California",139640,135161,3.31,22.4,6282.0,33°53′09″N 117°55′41″W﻿ / ﻿33.8857°N 117.9280°W,33.885833,-117.92805,53.9,2.3
191,192,Olathe,Kansas,KS,"https://en.wikipedia.org/wiki/Olathe,_Kansas",139605,125872,10.91,60.9,2225.0,38°53′03″N 94°49′10″W﻿ / ﻿38.8843°N 94.8195°W,38.884166,-94.819444,83.1,5.3
192,193,Orange,California,CA,"https://en.wikipedia.org/wiki/Orange,_California",139484,136416,2.25,25.4,5532.0,33°47′13″N 117°51′41″W﻿ / ﻿33.7870°N 117.8613°W,33.786944,-117.86138,67.1,1.6
193,194,Thornton,Colorado,CO,"https://en.wikipedia.org/wiki/Thornton,_Colorado",139436,118772,17.4,35.7,3829.0,39°55′10″N 104°56′34″W﻿ / ﻿39.9194°N 104.9428°W,39.919444,-104.94277,77.4,1.8
